doc_id,relative_path,bytes,pages,text_chars,status,text_file
doc_0052,1.0 Maintenance & Repair\1.04 Repair Management\1. Strategic\Repair Management.pdf,612766,22,36227,ok,texts\doc_0052.txt
doc_0053,1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\793B Workshop Test.pdf,7476355,9,8309,ok,texts\doc_0053.txt
doc_0054,1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\Cat 6015 Disassembly of shovel final brake.pdf,592336,8,7823,ok,texts\doc_0054.txt
doc_0055,1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\Contamination Control Using Plugs & Caps.pdf,522533,9,10611,ok,texts\doc_0055.txt
doc_0056,1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\Detecting Combustion Gas Leaks to Cooling System.pdf,639142,14,13569,ok,texts\doc_0056.txt
doc_0057,1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\Failure Analysis Report.pdf,280538,10,8104,ok,texts\doc_0057.txt
doc_0058,1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\Job Analysis Board.pdf,302085,9,16824,ok,texts\doc_0058.txt
doc_0059,1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\Mobile Hangar for Welding Truck Bodies in the Field.pdf,460185,6,8611,ok,texts\doc_0059.txt
doc_0060,1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\Portable In-Pit Welding Shop for Shovel Buckets.pdf,575733,6,5510,ok,texts\doc_0060.txt
doc_0061,1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\Service Card System.pdf,1191603,5,6837,ok,texts\doc_0061.txt
doc_0062,"1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\Support for transporta​tion and R&I of 793 front Wheel, Brake and suspension.pdf",935410,8,11786,ok,texts\doc_0062.txt
doc_0063,1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\Temporary Rim & Tires for Shop Transportation and Support.pdf,255808,5,7771,ok,texts\doc_0063.txt
doc_0064,1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\Tool for R&I of the 797F High Pressure Fuel Pump.pdf,1713617,9,14253,ok,texts\doc_0064.txt
doc_0065,"1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\Tool for Track Mounting in D9, D10 and D11 TTT Series on Maintenance Conveyor.pdf",329156,6,9302,ok,texts\doc_0065.txt
doc_0066,1.0 Maintenance & Repair\1.04 Repair Management\3. Quick Win\Adjustable Guard Storage Vehicle.pdf,1324816,9,7298,ok,texts\doc_0066.txt
doc_0067,1.0 Maintenance & Repair\1.04 Repair Management\3. Quick Win\Backpack for Field Service Electrician Tools.pdf,804862,10,15037,ok,texts\doc_0067.txt
doc_0068,1.0 Maintenance & Repair\1.04 Repair Management\3. Quick Win\Contamination Control Covers during Cylinder Block Removal and Installation.pdf,353575,6,7940,ok,texts\doc_0068.txt
doc_0069,1.0 Maintenance & Repair\1.04 Repair Management\3. Quick Win\Large Hex Stick Cylinder Transport Brackets.pdf,138461,4,6279,ok,texts\doc_0069.txt
doc_0070,1.0 Maintenance & Repair\1.04 Repair Management\3. Quick Win\Platform for working on the TTT undercarriage.pdf,2545025,9,12619,ok,texts\doc_0070.txt
doc_0071,1.0 Maintenance & Repair\1.04 Repair Management\3. Quick Win\Process for Removing Rust from Fuel Tanks.pdf,359739,10,8723,ok,texts\doc_0071.txt
doc_0072,1.0 Maintenance & Repair\1.04 Repair Management\3. Quick Win\Scavenge Pump Support Bracket for C-175 Engine.pdf,1157987,9,14196,ok,texts\doc_0072.txt
doc_0073,1.0 Maintenance & Repair\1.04 Repair Management\3. Quick Win\Schematics Workstation.pdf,263377,6,6673,ok,texts\doc_0073.txt
doc_0074,1.0 Maintenance & Repair\1.04 Repair Management\3. Quick Win\Tool to Repair Damaged OHT Exhaust Pipe.pdf,451993,4,5315,ok,texts\doc_0074.txt
doc_0075,1.0 Maintenance & Repair\1.05 Component Management\1. Strategic\Leveraging PLESN Data at the Dealership.pdf,3448162,7,18674,ok,texts\doc_0075.txt
doc_0076,1.0 Maintenance & Repair\1.05 Component Management\3. Quick Win\Ripper Guard Installation Tool.pdf,20715626,10,10768,ok,texts\doc_0076.txt
doc_0077,1.0 Maintenance & Repair\1.06 Backlog Management\1. Strategic\Backlog Execution Targets.pdf,291560,18,35463,ok,texts\doc_0077.txt
doc_0078,1.0 Maintenance & Repair\1.06 Backlog Management\1. Strategic\Backlog Management .pdf,361208,14,20319,ok,texts\doc_0078.txt
doc_0079,1.0 Maintenance & Repair\1.06 Backlog Management\2. Tactical\Tagging Recorded Backlogs  .pdf,230177,4,6912,ok,texts\doc_0079.txt
doc_0080,1.0 Maintenance & Repair\1.06 Backlog Management\3. Quick Win\Backlog Parts Staging Containers For HMS.pdf,460779,5,9305,ok,texts\doc_0080.txt
doc_0081,1.0 Maintenance & Repair\1.07 Parts Management\1. Strategic\Ordering Parts with Part Store.pdf,839627,12,16720,ok,texts\doc_0081.txt
doc_0082,1.0 Maintenance & Repair\1.07 Parts Management\1. Strategic\Parts Management (Strategic).pdf,1880401,13,27927,ok,texts\doc_0082.txt
doc_0083,1.0 Maintenance & Repair\1.07 Parts Management\2. Tactical\Demand Planning With AMT.pdf,1388978,9,17522,ok,texts\doc_0083.txt
doc_0084,1.0 Maintenance & Repair\1.07 Parts Management\2. Tactical\Service Vehicle Modifications for Improved Parts Transportation.pdf,596711,10,10139,ok,texts\doc_0084.txt
doc_0085,1.0 Maintenance & Repair\1.07 Parts Management\3. Quick Win\Longwall Move Box Process.pdf,383375,11,16483,ok,texts\doc_0085.txt
doc_0086,1.0 Maintenance & Repair\1.08 Training\1. Strategic\Apprentice Program Recommendation by Westrac.pdf,246232,14,16424,ok,texts\doc_0086.txt
doc_0087,1.0 Maintenance & Repair\1.08 Training\2. Tactical\Air Condition Simulation Board.pdf,1646245,7,7729,ok,texts\doc_0087.txt
doc_0088,1.0 Maintenance & Repair\1.08 Training\2. Tactical\Assurance and Accuracy in Torque Application in Tractor Link-Track Master Bolts.pdf,135914,6,7286,ok,texts\doc_0088.txt
doc_0089,1.0 Maintenance & Repair\1.08 Training\2. Tactical\Electronic Engine Simulation Board.pdf,2136486,13,11736,ok,texts\doc_0089.txt
doc_0090,1.0 Maintenance & Repair\1.09 Performance Evaluation\1. Strategic\Performance Evaluation.pdf,1326152,29,48263,ok,texts\doc_0090.txt
doc_0091,1.0 Maintenance & Repair\1.10 Continuous Improvement\1. Strategic\Continuous Improvement.pdf,1775947,7,14522,ok,texts\doc_0091.txt
doc_0092,1.0 Maintenance & Repair\1.10 Continuous Improvement\2. Tactical\Electrical Schematic Storage and Access for Technician Use.pdf,2790899,5,5994,ok,texts\doc_0092.txt
doc_0093,1.0 Maintenance & Repair\1.10 Continuous Improvement\2. Tactical\Managing Continuous Improvement Projects.pdf,94229,5,7879,ok,texts\doc_0093.txt
doc_0094,1.0 Maintenance & Repair\1.10 Continuous Improvement\3. Quick Win\Changing the Position of the Jack Sensor Box – MD6640.pdf,1105587,5,5240,ok,texts\doc_0094.txt
doc_0095,1.0 Maintenance & Repair\1.10 Continuous Improvement\3. Quick Win\Continuous Improvement Board Mobile Version.pdf,603374,7,8366,ok,texts\doc_0095.txt
doc_0096,1.0 Maintenance & Repair\1.10 Continuous Improvement\3. Quick Win\Install Protector GP-Edge 994K.pdf,345469,4,4903,ok,texts\doc_0096.txt
doc_0097,1.0 Maintenance & Repair\1.10 Continuous Improvement\3. Quick Win\Machine Inspection Technician Toolbox.pdf,2569455,9,6948,ok,texts\doc_0097.txt
doc_0098,1.0 Maintenance & Repair\1.10 Continuous Improvement\3. Quick Win\Spreader Bar Protection.pdf,1106841,9,7532,ok,texts\doc_0098.txt
doc_0099,1.0 Maintenance & Repair\1.10 Continuous Improvement\3. Quick Win\Truck 793D - Hinge installation on the hydraulic tank cover.pdf,610343,5,6205,ok,texts\doc_0099.txt
doc_0100,1.0 Maintenance & Repair\1.11 HSEC - M&R\2. Tactical\HMS Bucket Repair Jig.pdf,240083,6,7696,ok,texts\doc_0100.txt
doc_0101,1.0 Maintenance & Repair\1.11 HSEC - M&R\2. Tactical\Improved Method Of Shimming & Replacing OHT Tray Pads.pdf,137047,4,7196,ok,texts\doc_0101.txt
doc_0102,1.0 Maintenance & Repair\1.11 HSEC - M&R\2. Tactical\Pneumatic Service Pit Barrier.pdf,264455,4,6233,ok,texts\doc_0102.txt
doc_0103,1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\3516 Engine Crankshaft Counterweight Installation Removal tool.pdf,541466,7,8287,ok,texts\doc_0103.txt
doc_0104,1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\Additional Safety Measures for the 793B.pdf,1142448,9,8896,ok,texts\doc_0104.txt
doc_0105,1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\Engine Bay Buggy Steps.pdf,220363,5,7330,ok,texts\doc_0105.txt
doc_0106,1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\Ladder for 797 Front Suspension Maintanance.pdf,2702874,9,12967,ok,texts\doc_0106.txt
doc_0107,1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\Machine Energy Maps.pdf,484679,8,11016,ok,texts\doc_0107.txt
doc_0108,1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\Machine Lockout Device Installation for Caterpillar Equipment.pdf,198581,8,7242,ok,texts\doc_0108.txt
doc_0109,1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\MD6640 Drills - Installation of Safety Slings to Support the Mast Machinery.pdf,475165,6,9110,ok,texts\doc_0109.txt
doc_0110,1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\Motor Grader Edge Installation Tool.pdf,1018290,4,5932,ok,texts\doc_0110.txt
doc_0111,1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\Parts Mezzanine Safety Gate.pdf,101311,4,5270,ok,texts\doc_0111.txt
doc_0112,1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\R&I Tool for 797 Steering Cylinders.pdf,3864424,11,14301,ok,texts\doc_0112.txt
doc_0113,1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\R1300G Stand Chock Set.pdf,841174,4,5487,ok,texts\doc_0113.txt
doc_0114,1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\Tool for Blocking the 793 OHT Hoist Cylinder Rod.pdf,244562,6,5047,ok,texts\doc_0114.txt
doc_0115,1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\Tool for Removing the Pin on 793 OHT.pdf,4513210,6,5745,ok,texts\doc_0115.txt
doc_0116,1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\Wheel Chock Mobility.pdf,167413,4,6594,ok,texts\doc_0116.txt
doc_0117,2.0 Application\2.02 Haul Road Management\1. Strategic\Cost Reduction Through Haul Road Management Process.pdf,153330,7,12582,ok,texts\doc_0117.txt
doc_0118,2.0 Application\2.02 Haul Road Management\1. Strategic\Haul Road Optimization.pdf,189238,6,11925,ok,texts\doc_0118.txt
doc_0119,2.0 Application\2.02 Haul Road Management\1. Strategic\Road Analysis Control (RAC) .pdf,1190183,9,15781,ok,texts\doc_0119.txt
doc_0120,2.0 Application\2.03 Payload Management\1. Strategic\Payload Management.pdf,1885057,16,25142,ok,texts\doc_0120.txt
doc_0121,2.0 Application\2.03 Payload Management\2. Tactical\Managing Payload on 992G Wheel Loaders.pdf,293413,7,8438,ok,texts\doc_0121.txt
doc_0122,2.0 Application\2.03 Payload Management\2. Tactical\Measuring New Empty Machine Weight (EMW).pdf,588368,5,9520,ok,texts\doc_0122.txt
doc_0123,"2.0 Application\2.04 Training - Application\1. Strategic\Dealer, Customer, Municipalities - Partnership to Develop Operators.pdf",265402,7,10676,ok,texts\doc_0123.txt
doc_0124,2.0 Application\2.04 Training - Application\2. Tactical\Excessive Idling - Reducing Fuel Consumption with VIMS and MineStar Health.pdf,108674,6,10956,ok,texts\doc_0124.txt
doc_0125,2.0 Application\2.04 Training - Application\2. Tactical\Mining Equipment Operation Improvement Program.pdf,10427297,6,8577,ok,texts\doc_0125.txt
doc_0126,2.0 Application\2.04 Training - Application\2. Tactical\Road Defect Management Training Exercise.pdf,2283516,8,14225,ok,texts\doc_0126.txt
doc_0127,2.0 Application\2.04 Training - Application\2. Tactical\VIMS Utilization & Operator Training.pdf,404956,10,16000,ok,texts\doc_0127.txt
doc_0128,2.0 Application\2.04 Training - Application\3. Quick Win\Correct Gear Reminder While Ascending Up a Grade.pdf,51051,3,4587,ok,texts\doc_0128.txt
doc_0129,2.0 Application\2.04 Training - Application\3. Quick Win\Correct Gear Reminder While Descending Down a Grade Using ARC.pdf,88153,3,4768,ok,texts\doc_0129.txt
doc_0130,2.0 Application\2.04 Training - Application\3. Quick Win\Operator Perception .pdf,624021,4,6798,ok,texts\doc_0130.txt
doc_0131,2.0 Application\2.04 Training - Application\3. Quick Win\Tracking Abusive Shifts on Large Off Highway Trucks.pdf,120257,8,10382,ok,texts\doc_0131.txt
doc_0132,2.0 Application\2.05 Productivity Analysis\2. Tactical\Using Video Overlay for Communication of Mine Site Opportunities.pdf,5361625,13,23041,ok,texts\doc_0132.txt
doc_0133,2.0 Application\2.06 GET Management\1. Strategic\Auxiliary Fleet and Loaders GET Chart for Preventive Maintenance.pdf,3095936,7,8035,ok,texts\doc_0133.txt
doc_0134,2.0 Application\2.06 GET Management\2. Tactical\Improving GET Replacement Process.pdf,763640,10,14536,ok,texts\doc_0134.txt
doc_0135,2.0 Application\2.06 GET Management\2. Tactical\Motor Grader Ripper - Mounted Mining Bit System.pdf,319581,7,9218,ok,texts\doc_0135.txt
doc_0136,"2.0 Application\2.06 GET Management\2. Tactical\Tool for Removing the Teeth Ripper in 16 (G,H,M) & 24 (H,M) Motorgraders.pdf",346702,6,8358,ok,texts\doc_0136.txt
doc_0137,2.0 Application\2.06 GET Management\3. Quick Win\Backhoe-Hammer to remove large mining GET.pdf,489486,6,7003,ok,texts\doc_0137.txt
doc_0138,2.0 Application\2.07 HSEC - Application\1. Strategic\Safety Processes for a Mine Site.pdf,267187,13,30848,ok,texts\doc_0138.txt
doc_0139,3.0 Component Life Management\3.01 Improving Component Life\1. Strategic\Component Life Management Improvement Process.pdf,234941,13,17579,ok,texts\doc_0139.txt
doc_0140,3.0 Component Life Management\3.01 Improving Component Life\3. Quick Win\OHT Brake Group Baseline Wear Indicator Plate.pdf,731008,6,293,ok,texts\doc_0140.txt
doc_0141,3.0 Component Life Management\3.02 Component Life Tracking\2. Tactical\Getting Started With MCTS.pdf,1160330,8,11710,ok,texts\doc_0141.txt
doc_0142,3.0 Component Life Management\3.02 Component Life Tracking\2. Tactical\MCTS used to Manage & Monitor Component Life.pdf,1638215,10,16248,ok,texts\doc_0142.txt
doc_0143,3.0 Component Life Management\3.02 Component Life Tracking\2. Tactical\Using Weibull To Determine Optimal Component Life Cycle Analysis.pdf,1456974,8,13124,ok,texts\doc_0143.txt
doc_0144,3.0 Component Life Management\3.03 Fluid Cleanliness\1. Strategic\Fluid Cleanliness Management.pdf,1781730,5,10962,ok,texts\doc_0144.txt
doc_0145,3.0 Component Life Management\3.03 Fluid Cleanliness\2. Tactical\Bulk Fuel Cleanliness Management.pdf,204970,6,9443,ok,texts\doc_0145.txt
doc_0146,3.0 Component Life Management\3.03 Fluid Cleanliness\2. Tactical\Bulk Fuel Filtration.pdf,2296582,6,8039,ok,texts\doc_0146.txt
doc_0147,3.0 Component Life Management\3.03 Fluid Cleanliness\2. Tactical\Bulk Fuel Storage and Handling.pdf,107224,5,10062,ok,texts\doc_0147.txt
doc_0148,3.0 Component Life Management\3.03 Fluid Cleanliness\2. Tactical\Bulk Oil Filtration.pdf,263869,6,12266,ok,texts\doc_0148.txt
doc_0149,3.0 Component Life Management\3.03 Fluid Cleanliness\2. Tactical\Improving the Hydraulic Fluid Cleanliness of 794AC Fleet.pdf,1847632,11,18900,ok,texts\doc_0149.txt
doc_0150,3.0 Component Life Management\3.03 Fluid Cleanliness\2. Tactical\Measuring Oil Cleanliness.pdf,1775307,4,7399,ok,texts\doc_0150.txt
doc_0151,3.0 Component Life Management\3.03 Fluid Cleanliness\2. Tactical\Off-Board Machine Filtration.pdf,60972,6,13543,ok,texts\doc_0151.txt
doc_0152,3.0 Component Life Management\3.03 Fluid Cleanliness\2. Tactical\Oil Drain Interval Extension.pdf,61261,4,7111,ok,texts\doc_0152.txt
doc_0153,3.0 Component Life Management\3.03 Fluid Cleanliness\2. Tactical\On-Board Machine Filtration.pdf,1772247,4,9014,ok,texts\doc_0153.txt
doc_0154,3.0 Component Life Management\3.03 Fluid Cleanliness\2. Tactical\SOS Lab Data Entry Improvement using New Electronic System.pdf,428966,7,6748,ok,texts\doc_0154.txt
doc_0155,3.0 Component Life Management\3.03 Fluid Cleanliness\3. Quick Win\Ensuring Proper Lube with Quick Disconnect Fittings.pdf,199371,3,5052,ok,texts\doc_0155.txt
doc_0156,3.0 Component Life Management\3.03 Fluid Cleanliness\3. Quick Win\High Efficiency Breather Filters.pdf,1959603,3,5133,ok,texts\doc_0156.txt
doc_0157,3.0 Component Life Management\3.03 Fluid Cleanliness\3. Quick Win\Reduction of Internal Contamination for Hoses.pdf,2138752,5,6758,ok,texts\doc_0157.txt
doc_0158,3.0 Component Life Management\3.03 Fluid Cleanliness\3. Quick Win\Self Contained Bulk Oil Filtration Day Tank.pdf,122639,4,7853,ok,texts\doc_0158.txt
doc_0159,3.0 Component Life Management\3.03 Fluid Cleanliness\3. Quick Win\Series High Efficiency Fuel Filters.pdf,228944,5,7292,ok,texts\doc_0159.txt
doc_0160,3.0 Component Life Management\3.04 Removal & Installation\1. Strategic\Machine Shop Components Lifting Operations Assurance Strategy.pdf,926503,12,15973,ok,texts\doc_0160.txt
doc_0161,3.0 Component Life Management\3.04 Removal & Installation\2. Tactical\740 TYRE - RIM Remove and Install Supporting Tool.pdf,287136,5,5099,ok,texts\doc_0161.txt
doc_0162,3.0 Component Life Management\3.04 Removal & Installation\2. Tactical\777 Final Drive Replacement Stand.pdf,2777750,4,6317,ok,texts\doc_0162.txt
doc_0163,3.0 Component Life Management\3.04 Removal & Installation\2. Tactical\793D Converter Remove & Install Tool.pdf,309182,8,9230,ok,texts\doc_0163.txt
doc_0164,3.0 Component Life Management\3.04 Removal & Installation\2. Tactical\Change Hydraulic Hoses During Major Component R&I.pdf,75139,4,4614,ok,texts\doc_0164.txt
doc_0165,3.0 Component Life Management\3.04 Removal & Installation\2. Tactical\Component Install Kits Improve R&I Process.pdf,3910470,6,8134,ok,texts\doc_0165.txt
